35453884,2024-11-04,14:30:00,2024-11-04 14:30:00,-25.5,-22.8,-22.3
35453885,2024-11-04,14:45:00,2024-11-04 14:45:00,-24.7,-22.7,-22.2
35453886,2024-11-04,15:00:00,2024-11-04 15:00:00,-23.9,-22.6,-22.1
35453887,2024-11-04,15:15:00,2024-11-04 15:15:00,-23.1,-22.5,-22
35453888,2024-11-04,15:30:00,2024-11-04 15:30:00,-22.3,-22.4,-21.9
35453889,2024-11-04,15:45:00,2024-11-04 15:45:00,-21.5,-22.3,-21.8
35453890,2024-11-04,16:00:00,2024-11-04 16:00:00,-21,-22,-21.5
35453891,2024-11-04,16:15:00,2024-11-04 16:15:00,-21.2,-22.1,-21.6
35453892,2024-11-04,16:30:00,2024-11-04 16:30:00,-21.3,-22.2,-21.7
35453893,2024-11-04,16:45:00,2024-11-04 16:45:00,-21.4,-22.3,-21.8
35453894,2024-11-04,17:00:00,2024-11-04 17:00:00,-21.5,-22.4,-21.9
35453895,2024-11-04,17:15:00,2024-11-04 17:15:00,-21.6,-22.5,-22
35453896,2024-11-04,17:30:00,2024-11-04 17:30:00,-21.7,-22.6,-22.1
35453897,2024-11-04,17:45:00,2024-11-04 17:45:00,-21.8,-22.7,-22.2
35453898,2024-11-04,18:00:00,2024-11-04 18:00:00,-21.9,-22.8,-22.3
35453899,2024-11-04,18:15:00,2024-11-04 18:15:00,-22,-22.9,-22.4
35453900,2024-11-04,18:30:00,2024-11-04 18:30:00,-22.1,-23,-22.5
35453901,2024-11-04,18:45:00,2024-11-04 18:45:00,-22.2,-23.1,-22.6
35453902,2024-11-04,19:00:00,2024-11-04 19:00:00,-22.3,-23.2,-22.7
35453903,2024-11-04,19:15:00,2024-11-04 19:15:00,-22.4,-23.3,-22.8
35453904,2024-11-04,19:30:00,2024-11-04 19:30:00,-22.5,-23.4,-22.9
35453905,2024-11-04,19:45:00,2024-11-04 19:45:00,-22.6,-23.5,-23
35453906,2024-11-04,20:00:00,2024-11-04 20:00:00,-22.7,-23.6,-23.1
35453907,2024-11-04,20:15:00,2024-11-04 20:15:00,-22.8,-23.7,-23.2
35453908,2024-11-04,20:30:00,2024-11-04 20:30:00,-22.9,-23.8,-23.3
35453909,2024-11-04,20:45:00,2024-11-04 20:45:00,-23,-23.9,-23.4
35453910,2024-11-04,21:00:00,2024-11-04 21:00:00,-23.1,-24,-23.5
35453911,2024-11-04,21:15:00,2024-11-04 21:15:00,-23.2,-24.1,-23.6
35453912,2024-11-04,21:30:00,2024-11-04 21:30:00,-23.3,-24.2,-23.7
35453913,2024-11-04,21:45:00,2024-11-04 21:45:00,-23.4,-24.3,-23.8
35453914,2024-11-04,22:00:00,2024-11-04 22:00:00,-23.8,-24.1,-23.6
35453915,2024-11-04,22:15:00,2024-11-04 22:15:00,-23.9,-24,-23.5
35453916,2024-11-04,22:30:00,2024-11-04 22:30:00,-24,-23.9,-23.4
35453917,2024-11-04,22:45:00,2024-11-04 22:45:00,-24.1,-23.8,-23.3
35453918,2024-11-04,23:00:00,2024-11-04 23:00:00,-24.2,-23.7,-23.2
35453919,2024-11-04,23:15:00,2024-11-04 23:15:00,-24.3,-23.6,-23.1
35453920,2024-11-04,23:30:00,2024-11-04 23:30:00,-24.4,-23.5,-23
35453921,2024-11-04,23:45:00,2024-11-04 23:45:00,-24.5,-23.4,-22.9
35453922,2024-11-05,0:00:00,2024-11-05 0:00:00,-24.6,-23.3,-22.8
35453923,2024-11-05,0:15:00,2024-11-05 0:15:00,-24.7,-23.2,-22.7
35453924,2024-11-05,0:30:00,2024-11-05 0:30:00,-24.8,-23.1,-22.6
35453925,2024-11-05,0:45:00,2024-11-05 0:45:00,-24.9,-23,-22.5
35453926,2024-11-05,1:00:00,2024-11-05 1:00:00,-25,-22.9,-22.4
35453927,2024-11-05,1:15:00,2024-11-05 1:15:00,-25.1,-22.8,-22.3
35453928,2024-11-05,1:30:00,2024-11-05 1:30:00,-25.2,-22.7,-22.2
35453929,2024-11-05,1:45:00,2024-11-05 1:45:00,-25.3,-22.6,-22.1
35453930,2024-11-05,2:00:00,2024-11-05 2:00:00,-25.4,-22.5,-22
35453931,2024-11-05,2:15:00,2024-11-05 2:15:00,-25.5,-22.4,-21.9
35453932,2024-11-05,2:30:00,2024-11-05 2:30:00,-25.6,-22.3,-21.8
35453933,2024-11-05,2:45:00,2024-11-05 2:45:00,-25.7,-22.2,-21.7
35453934,2024-11-05,3:00:00,2024-11-05 3:00:00,-25.8,-22.1,-21.6
35453935,2024-11-05,3:15:00,2024-11-05 3:15:00,-25.9,-22,-21.5
35453936,2024-11-05,3:30:00,2024-11-05 3:30:00,-26,-22.1,-21.6
35453937,2024-11-05,3:45:00,2024-11-05 3:45:00,-26.1,-22.2,-21.7
